"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","tearDown","autoTestRest","Fri Apr 04 18:09:32 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","tearDown"
"","0","tearDown","autoTestRest","Fri Apr 04 18:09:32 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","tearDown"
"","1644","Проверить создание сущности и получить всех сущностей","autoTestRest","Fri Apr 04 18:09:31 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","testCreateAndGetAllEntity"
"","0","tearDown","autoTestRest","Fri Apr 04 18:09:32 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","tearDown"
"","1643","Проверить создание сущности и получение её по ID","autoTestRest","Fri Apr 04 18:09:31 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testCreateAndGetEntity"
"","0","tearDown","autoTestRest","Fri Apr 04 18:09:32 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","tearDown"
"","1644","Проверить создание сущности и ее удаление","autoTestRest","Fri Apr 04 18:09:31 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","testCreateEntityWithSerialization"
"","1645","Проверить создание сущности, обновление сущности и ее дополнений","autoTestRest","Fri Apr 04 18:09:31 GMT 2025","broken","Fri Apr 04 18:09:32 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","testCreateAndPatchEntity"
