"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","tearDown","autoTestRest","Fri Apr 04 17:56:59 GMT 2025","broken","Fri Apr 04 17:56:59 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","tearDown"
"","0","tearDown","autoTestRest","Fri Apr 04 17:56:59 GMT 2025","broken","Fri Apr 04 17:56:59 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","tearDown"
"","1990","Проверить создание сущности, обновление сущности и ее дополнений","autoTestRest","Fri Apr 04 17:56:57 GMT 2025","failed","Fri Apr 04 17:56:59 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","testCreateAndPatchEntity"
"","1990","Проверить создание сущности и ее удаление","autoTestRest","Fri Apr 04 17:56:57 GMT 2025","failed","Fri Apr 04 17:56:59 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","testCreateEntityWithSerialization"
"","1776","Проверить создание сущности и получить всех сущностей","autoTestRest","Fri Apr 04 17:56:57 GMT 2025","broken","Fri Apr 04 17:56:59 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","testCreateAndGetAllEntity"
"","1991","Проверить создание сущности и получение её по ID","autoTestRest","Fri Apr 04 17:56:57 GMT 2025","failed","Fri Apr 04 17:56:59 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testCreateAndGetEntity"
"","0","tearDown","autoTestRest","Fri Apr 04 17:56:59 GMT 2025","broken","Fri Apr 04 17:56:59 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","tearDown"
"","1","tearDown","autoTestRest","Fri Apr 04 17:56:59 GMT 2025","broken","Fri Apr 04 17:56:59 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","tearDown"
