"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1606","Проверить создание сущности и получение её по ID","autoTestRest","Fri Apr 04 18:36:04 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testCreateAndGetEntity"
"","3","tearDown","autoTestRest","Fri Apr 04 18:36:06 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","tearDown"
"","1604","Проверить создание сущности, обновление сущности и ее дополнений","autoTestRest","Fri Apr 04 18:36:04 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","testCreateAndPatchEntity"
"","1607","Проверить создание сущности и ее удаление","autoTestRest","Fri Apr 04 18:36:04 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","testCreateEntityWithSerialization"
"","0","tearDown","autoTestRest","Fri Apr 04 18:36:06 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","tearDown"
"","0","tearDown","autoTestRest","Fri Apr 04 18:36:06 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","tearDown"
"","1607","Проверить создание сущности и получить всех сущностей","autoTestRest","Fri Apr 04 18:36:04 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","testCreateAndGetAllEntity"
"","1","tearDown","autoTestRest","Fri Apr 04 18:36:06 GMT 2025","broken","Fri Apr 04 18:36:06 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","tearDown"
