"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","tearDown","autoTestRest","Fri Apr 04 17:37:26 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","tearDown"
"","0","tearDown","autoTestRest","Fri Apr 04 17:37:26 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","tearDown"
"","1828","Проверить создание сущности и ее удаление","autoTestRest","Fri Apr 04 17:37:24 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","testCreateEntityWithSerialization"
"","1826","Проверить создание сущности, обновление сущности и ее дополнений","autoTestRest","Fri Apr 04 17:37:24 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","testCreateAndPatchEntity"
"","1827","Проверить создание сущности и получить всех сущностей","autoTestRest","Fri Apr 04 17:37:24 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","testCreateAndGetAllEntity"
"","1","tearDown","autoTestRest","Fri Apr 04 17:37:26 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","tearDown"
"","1827","Проверить создание сущности и получение её по ID","autoTestRest","Fri Apr 04 17:37:24 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testCreateAndGetEntity"
"","3","tearDown","autoTestRest","Fri Apr 04 17:37:26 GMT 2025","failed","Fri Apr 04 17:37:26 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","tearDown"
