"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","tearDown","autoTestRest","Fri Apr 04 19:41:38 GMT 2025","broken","Fri Apr 04 19:41:38 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","tearDown"
"","3","tearDown","autoTestRest","Fri Apr 04 19:41:38 GMT 2025","broken","Fri Apr 04 19:41:38 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","tearDown"
"","1666","Проверить создание сущности и получение её по ID","autoTestRest","Fri Apr 04 19:41:36 GMT 2025","broken","Fri Apr 04 19:41:37 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testCreateAndGetEntity"
"","1670","Проверить создание сущности и получить всех сущностей","autoTestRest","Fri Apr 04 19:41:36 GMT 2025","broken","Fri Apr 04 19:41:37 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","testCreateAndGetAllEntity"
"","1669","Проверить создание сущности, обновление сущности и ее дополнений","autoTestRest","Fri Apr 04 19:41:36 GMT 2025","broken","Fri Apr 04 19:41:37 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","testCreateAndPatchEntity"
"","0","tearDown","autoTestRest","Fri Apr 04 19:41:38 GMT 2025","broken","Fri Apr 04 19:41:38 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","tearDown"
"","1669","Проверить создание сущности и ее удаление","autoTestRest","Fri Apr 04 19:41:36 GMT 2025","broken","Fri Apr 04 19:41:37 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","testCreateEntityWithSerialization"
"","2","tearDown","autoTestRest","Fri Apr 04 19:41:38 GMT 2025","broken","Fri Apr 04 19:41:38 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","tearDown"
