"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1582","Проверить создание сущности и получить всех сущностей","autoTestRest","Fri Apr 04 20:15:18 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","testCreateAndGetAllEntity"
"","0","tearDown","autoTestRest","Fri Apr 04 20:15:20 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.GetAllEntityTest","Tests","tests.GetAllEntityTest","tearDown"
"","1587","Проверить создание сущности и получение её по ID","autoTestRest","Fri Apr 04 20:15:18 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","testCreateAndGetEntity"
"","0","tearDown","autoTestRest","Fri Apr 04 20:15:20 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.GetEntityTest","Tests","tests.GetEntityTest","tearDown"
"","0","tearDown","autoTestRest","Fri Apr 04 20:15:20 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","tearDown"
"","1584","Проверить создание сущности, обновление сущности и ее дополнений","autoTestRest","Fri Apr 04 20:15:18 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","testCreateAndPatchEntity"
"","0","tearDown","autoTestRest","Fri Apr 04 20:15:20 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.PatchEntityTest","Tests","tests.PatchEntityTest","tearDown"
"","1585","Проверить создание сущности и ее удаление","autoTestRest","Fri Apr 04 20:15:18 GMT 2025","broken","Fri Apr 04 20:15:20 GMT 2025","tests.CreateAndDeleteEntityTest","Tests","tests.CreateAndDeleteEntityTest","testCreateEntityWithSerialization"
