"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Управление сценариями GET","1","Сценарий GetAll (создать - получить все сущности)","0","0","","0"
"0","Управление сценариями PATCH","1","Сценарий PATCH (создать - обновить данные)","0","0","","0"
"0","Управление сценариями GET","2","","0","0","","0"
"0","Управление сценариями POST","1","Сценарий POST (создать - удалить)","0","0","","0"
"0","Управление сценариями POST","1","","0","0","","0"
"0","Управление сценариями GET","1","Сценарий Get (создать - получить сущность)","0","0","","0"
"0","Управление сценариями PATCH","1","","0","0","","0"
